hhs1,hhs2,hhs3,hhs4,hhs5,hhs6,hhs7,hhs8,hhs9,hhs10
8.306099999999999595e-01,1.795830000000000037e+00,1.162260000000000071e+00,8.289199999999999902e-01,7.445460000000000411e-01,1.604740000000000055e+00,6.970220000000000304e-01,6.358559999999999768e-01,1.793139999999999956e+00,4.636500000000000066e-01
9.111289999999999667e-01,1.704409999999999981e+00,1.358530000000000015e+00,1.115159999999999929e+00,8.103219999999999867e-01,1.797160000000000091e+00,8.555089999999999639e-01,6.542189999999999950e-01,1.861120000000000108e+00,1.067590000000000039e+00
9.240829999999999878e-01,2.306249999999999911e+00,1.268939999999999957e+00,1.125669999999999948e+00,8.812590000000000146e-01,1.933089999999999975e+00,9.693079999999999474e-01,6.966689999999999827e-01,1.755940000000000056e+00,7.774020000000000374e-01
7.859850000000000447e-01,2.316600000000000215e+00,1.328219999999999956e+00,1.321590000000000042e+00,1.011339999999999906e+00,2.026569999999999983e+00,9.044689999999999674e-01,7.701799999999999757e-01,1.713489999999999958e+00,7.291069999999999496e-01
1.035290000000000044e+00,1.936809999999999921e+00,1.344859999999999944e+00,1.311579999999999968e+00,1.064219999999999944e+00,2.107720000000000038e+00,7.079999999999999627e-01,7.664050000000000029e-01,1.757479999999999931e+00,8.415089999999999515e-01
1.177009999999999890e+00,2.527369999999999894e+00,1.364559999999999995e+00,1.476720000000000033e+00,1.182590000000000030e+00,2.231489999999999974e+00,7.713489999999999513e-01,7.964320000000000288e-01,2.064859999999999918e+00,8.884809999999999652e-01
1.128239999999999910e+00,2.308870000000000200e+00,1.354880000000000084e+00,1.684469999999999912e+00,1.234560000000000102e+00,2.253509999999999902e+00,1.093709999999999960e+00,7.881749999999999590e-01,2.076119999999999965e+00,9.221810000000000285e-01
1.001109999999999944e+00,2.770340000000000025e+00,1.699559999999999960e+00,2.189830000000000165e+00,1.469240000000000101e+00,3.525250000000000217e+00,1.023919999999999941e+00,7.467169999999999641e-01,2.244689999999999852e+00,1.005220000000000002e+00
1.140269999999999895e+00,2.946899999999999853e+00,2.228580000000000005e+00,3.052080000000000126e+00,1.859629999999999894e+00,4.202139999999999986e+00,1.841609999999999969e+00,9.887850000000000250e-01,2.521100000000000119e+00,1.056529999999999969e+00
1.102989999999999915e+00,2.446480000000000210e+00,2.137900000000000134e+00,2.909530000000000172e+00,2.407910000000000217e+00,4.416520000000000223e+00,1.789679999999999938e+00,1.319800000000000084e+00,2.259590000000000209e+00,1.312470000000000026e+00
1.232129999999999947e+00,2.895939999999999959e+00,2.888040000000000163e+00,3.788030000000000008e+00,3.873679999999999790e+00,7.573290000000000077e+00,3.692039999999999988e+00,1.833960000000000035e+00,2.436780000000000168e+00,1.471789999999999932e+00
1.311020000000000074e+00,3.617480000000000029e+00,4.550309999999999633e+00,5.680609999999999715e+00,4.891750000000000043e+00,1.062040000000000006e+01,4.887839999999999741e+00,2.415919999999999845e+00,2.792739999999999778e+00,2.048039999999999861e+00
1.965859999999999941e+00,5.248920000000000030e+00,7.275420000000000442e+00,7.516989999999999839e+00,6.618179999999999730e+00,7.536660000000000359e+00,6.379080000000000084e+00,3.783939999999999859e+00,4.261440000000000339e+00,2.608119999999999994e+00
1.893259999999999943e+00,4.533909999999999663e+00,6.996669999999999945e+00,5.205320000000000391e+00,4.811180000000000234e+00,9.567180000000000462e+00,5.800729999999999720e+00,4.390189999999999593e+00,4.707589999999999719e+00,3.187990000000000101e+00
1.943920000000000092e+00,4.288730000000000153e+00,4.878009999999999735e+00,3.456360000000000099e+00,3.187679999999999847e+00,7.718530000000000335e+00,4.491530000000000022e+00,3.404589999999999783e+00,4.040869999999999962e+00,3.109440000000000204e+00
2.612410000000000121e+00,4.617910000000000181e+00,4.122899999999999565e+00,3.005250000000000199e+00,2.618850000000000122e+00,8.833679999999999310e+00,3.590700000000000003e+00,3.346639999999999837e+00,4.467349999999999710e+00,3.642370000000000108e+00
3.937730000000000175e+00,5.050690000000000346e+00,4.538990000000000080e+00,3.343599999999999905e+00,2.256660000000000110e+00,7.274759999999999671e+00,4.187160000000000437e+00,3.188079999999999803e+00,5.005359999999999587e+00,3.400259999999999838e+00
3.594619999999999926e+00,5.227899999999999991e+00,4.248199999999999754e+00,3.049679999999999946e+00,1.918309999999999960e+00,6.392769999999999619e+00,4.155420000000000336e+00,3.013900000000000023e+00,5.007509999999999906e+00,2.764829999999999899e+00
3.558180000000000121e+00,5.171979999999999578e+00,3.545710000000000139e+00,2.845839999999999925e+00,1.905580000000000052e+00,5.851140000000000008e+00,3.242059999999999942e+00,2.784260000000000179e+00,4.442969999999999864e+00,2.168039999999999967e+00
3.262750000000000039e+00,4.863929999999999865e+00,2.655489999999999906e+00,2.606269999999999865e+00,1.876130000000000075e+00,5.499369999999999870e+00,2.676520000000000010e+00,2.073420000000000041e+00,3.926200000000000134e+00,1.806640000000000024e+00
2.936370000000000147e+00,3.685519999999999907e+00,2.588900000000000201e+00,2.588389999999999969e+00,1.827220000000000066e+00,4.974219999999999864e+00,2.386000000000000121e+00,1.986969999999999903e+00,3.434359999999999857e+00,1.180809999999999915e+00
1.944450000000000012e+00,3.397650000000000059e+00,1.828149999999999942e+00,2.367680000000000007e+00,1.626900000000000013e+00,4.263250000000000206e+00,2.403280000000000083e+00,1.524559999999999915e+00,3.081440000000000179e+00,1.074330000000000007e+00
1.768659999999999899e+00,2.785870000000000068e+00,2.076490000000000169e+00,2.252270000000000216e+00,1.768950000000000022e+00,4.227970000000000006e+00,2.291329999999999867e+00,1.511560000000000015e+00,2.960420000000000051e+00,1.105809999999999960e+00
1.727190000000000003e+00,2.459480000000000111e+00,1.699799999999999978e+00,1.891590000000000105e+00,1.840689999999999937e+00,4.236760000000000304e+00,2.445619999999999905e+00,1.453209999999999891e+00,3.002839999999999954e+00,1.153540000000000010e+00
1.512140000000000040e+00,2.806649999999999867e+00,1.618330000000000046e+00,1.449100000000000055e+00,1.890090000000000048e+00,3.651289999999999925e+00,2.132519999999999971e+00,1.517120000000000024e+00,2.726999999999999869e+00,1.197030000000000038e+00
1.520299999999999985e+00,2.622660000000000213e+00,1.769349999999999978e+00,1.369860000000000078e+00,2.011960000000000193e+00,3.239390000000000214e+00,1.873860000000000081e+00,1.158260000000000067e+00,2.472259999999999902e+00,8.842969999999999997e-01
1.583120000000000083e+00,2.502359999999999918e+00,1.718159999999999910e+00,1.313320000000000043e+00,1.803979999999999917e+00,2.958940000000000126e+00,1.795840000000000103e+00,1.232050000000000090e+00,2.485840000000000050e+00,9.778839999999999755e-01
1.387459999999999916e+00,2.276219999999999910e+00,1.681449999999999889e+00,1.108899999999999997e+00,1.668439999999999923e+00,2.452539999999999942e+00,1.446290000000000076e+00,9.787569999999999881e-01,2.271830000000000016e+00,6.570709999999999607e-01
1.297439999999999927e+00,1.949610000000000065e+00,1.480080000000000062e+00,9.336379999999999679e-01,1.422490000000000032e+00,2.340500000000000025e+00,1.134400000000000075e+00,1.000950000000000006e+00,2.037770000000000081e+00,8.382910000000000084e-01
1.258790000000000076e+00,1.935049999999999937e+00,1.366819999999999924e+00,9.152820000000000400e-01,1.210269999999999957e+00,1.604859999999999953e+00,1.070160000000000000e+00,9.423190000000000177e-01,1.983829999999999982e+00,9.141709999999999559e-01
1.015640000000000098e+00,1.846289999999999987e+00,1.476420000000000066e+00,9.698290000000000521e-01,1.228080000000000060e+00,2.212579999999999991e+00,1.063690000000000024e+00,8.411889999999999645e-01,2.032210000000000072e+00,8.257579999999999920e-01
1.005929999999999991e+00,1.859690000000000065e+00,1.336489999999999956e+00,9.415390000000000148e-01,1.046210000000000084e+00,2.102660000000000196e+00,8.171340000000000270e-01,8.729710000000000525e-01,2.096690000000000165e+00,5.280820000000000514e-01
7.804140000000000521e-01,1.791590000000000016e+00,1.211240000000000094e+00,1.005989999999999940e+00,1.001540000000000097e+00,1.947699999999999987e+00,8.448820000000000219e-01,6.781530000000000058e-01,2.090629999999999988e+00,7.002939999999999721e-01
7.953740000000000254e-01,1.636540000000000106e+00,1.227850000000000108e+00,9.190260000000000096e-01,8.427970000000000184e-01,1.905129999999999990e+00,6.145420000000000327e-01,5.556339999999999613e-01,2.008900000000000130e+00,6.103910000000000169e-01
