hhs1,hhs2,hhs3,hhs4,hhs5,hhs6,hhs7,hhs8,hhs9,hhs10
7.144890000000000407e-01,1.529640000000000111e+00,9.264520000000000532e-01,1.157040000000000068e+00,1.138830000000000009e+00,1.917629999999999946e+00,6.257989999999999942e-01,4.731239999999999890e-01,1.767370000000000108e+00,5.208709999999999729e-01
7.979070000000000329e-01,1.636989999999999945e+00,9.907820000000000515e-01,1.255900000000000016e+00,1.166840000000000099e+00,2.047689999999999788e+00,7.009609999999999452e-01,5.597370000000000401e-01,1.552459999999999951e+00,6.323400000000000132e-01
7.968849999999999545e-01,1.867080000000000073e+00,1.025339999999999918e+00,1.259060000000000068e+00,1.140109999999999957e+00,2.021529999999999827e+00,8.325879999999999947e-01,5.603599999999999692e-01,1.580340000000000078e+00,7.993989999999999707e-01
9.721330000000000249e-01,2.090910000000000046e+00,1.119099999999999984e+00,1.594719999999999915e+00,1.230779999999999985e+00,2.237010000000000165e+00,9.434550000000000436e-01,6.977440000000000309e-01,1.726949999999999985e+00,7.069560000000000288e-01
9.483209999999999695e-01,2.416269999999999918e+00,1.180600000000000094e+00,1.789549999999999974e+00,1.226080000000000059e+00,2.941440000000000055e+00,1.160630000000000051e+00,6.962749999999999773e-01,2.017059999999999853e+00,9.566820000000000324e-01
1.082270000000000065e+00,2.397320000000000118e+00,1.304650000000000087e+00,2.128019999999999801e+00,1.328969999999999985e+00,3.319669999999999899e+00,1.251430000000000042e+00,7.724729999999999652e-01,1.920150000000000023e+00,1.000979999999999981e+00
1.193750000000000089e+00,2.827999999999999847e+00,1.580999999999999961e+00,2.224180000000000046e+00,1.210849999999999982e+00,3.922089999999999854e+00,1.407650000000000068e+00,8.425939999999999541e-01,2.021079999999999988e+00,9.298110000000000541e-01
1.596580000000000110e+00,2.837330000000000130e+00,1.640130000000000088e+00,2.542549999999999866e+00,1.542920000000000069e+00,4.113949999999999996e+00,1.728140000000000009e+00,9.357060000000000377e-01,2.177770000000000206e+00,1.250879999999999992e+00
1.536059999999999981e+00,2.972649999999999793e+00,1.606729999999999992e+00,2.236810000000000187e+00,1.597010000000000041e+00,4.618219999999999992e+00,1.475039999999999907e+00,9.491270000000000540e-01,2.158079999999999998e+00,1.205430000000000001e+00
1.657699999999999951e+00,3.152159999999999851e+00,1.632300000000000084e+00,2.532500000000000195e+00,1.922879999999999923e+00,5.144739999999999647e+00,2.055559999999999832e+00,1.130220000000000002e+00,2.596000000000000085e+00,1.115169999999999995e+00
1.822670000000000012e+00,3.591610000000000191e+00,1.839159999999999906e+00,3.105579999999999785e+00,2.184039999999999981e+00,7.991979999999999862e+00,2.753540000000000099e+00,1.326119999999999965e+00,3.561560000000000059e+00,1.309679999999999955e+00
2.244749999999999801e+00,4.324300000000000033e+00,2.297330000000000094e+00,4.627539999999999765e+00,3.191870000000000207e+00,1.161059999999999981e+01,4.323039999999999772e+00,1.935489999999999933e+00,4.736110000000000042e+00,2.156109999999999971e+00
