hhs1,hhs2,hhs3,hhs4,hhs5,hhs6,hhs7,hhs8,hhs9,hhs10
7.433020000000000183e-01,1.032780000000000031e+00,1.217799999999999994e+00,1.014639999999999986e+00,1.042589999999999906e+00,2.543099999999999916e+00,8.739339999999999886e-01,6.559490000000000043e-01,1.345369999999999955e+00,4.970720000000000138e-01
6.132410000000000361e-01,9.514329999999999732e-01,1.260210000000000052e+00,1.074540000000000051e+00,1.168930000000000025e+00,2.805919999999999970e+00,8.874069999999999458e-01,6.726739999999999942e-01,1.489770000000000039e+00,7.560540000000000038e-01
7.217470000000000274e-01,1.230180000000000051e+00,1.533409999999999940e+00,1.048789999999999889e+00,1.067129999999999912e+00,2.989990000000000148e+00,1.122730000000000006e+00,6.887959999999999638e-01,1.439019999999999966e+00,5.500180000000000069e-01
7.671360000000000401e-01,1.102780000000000094e+00,1.395350000000000090e+00,1.078119999999999967e+00,1.114999999999999991e+00,3.096270000000000078e+00,8.545239999999999503e-01,6.126080000000000414e-01,1.588789999999999925e+00,8.530140000000000500e-01
9.233369999999999633e-01,1.216839999999999922e+00,1.534470000000000001e+00,1.088349999999999929e+00,1.219289999999999985e+00,2.870659999999999989e+00,1.153750000000000053e+00,7.214329999999999909e-01,1.705850000000000088e+00,5.267629999999999812e-01
7.679749999999999632e-01,1.073360000000000092e+00,1.575870000000000104e+00,1.087099999999999955e+00,1.308489999999999931e+00,3.267180000000000195e+00,1.208779999999999966e+00,7.444070000000000409e-01,1.739209999999999923e+00,8.919040000000000301e-01
7.362009999999999943e-01,1.363299999999999956e+00,1.720010000000000039e+00,1.263220000000000010e+00,1.245319999999999983e+00,3.274540000000000006e+00,1.050159999999999982e+00,7.766880000000000450e-01,1.987440000000000095e+00,6.993629999999999569e-01
9.547360000000000291e-01,1.350689999999999946e+00,2.174139999999999961e+00,1.561579999999999968e+00,1.433370000000000033e+00,4.087069999999999759e+00,1.310920000000000085e+00,9.979219999999999757e-01,2.243700000000000028e+00,8.203899999999999526e-01
8.078509999999999858e-01,1.570920000000000094e+00,1.839960000000000040e+00,1.312540000000000040e+00,1.144879999999999898e+00,3.637999999999999901e+00,9.535900000000000487e-01,7.256789999999999630e-01,2.004030000000000200e+00,8.124980000000000535e-01
9.758310000000000040e-01,1.860919999999999908e+00,2.020230000000000192e+00,1.333020000000000094e+00,1.380509999999999904e+00,3.678500000000000103e+00,9.122630000000000461e-01,8.919820000000000526e-01,2.034299999999999997e+00,5.948860000000000259e-01
1.036680000000000046e+00,1.745409999999999906e+00,2.278369999999999784e+00,1.486799999999999899e+00,1.441610000000000058e+00,3.752330000000000165e+00,1.198739999999999917e+00,8.957789999999999919e-01,2.134840000000000071e+00,6.587190000000000545e-01
1.383019999999999916e+00,2.294979999999999798e+00,2.815109999999999779e+00,1.869920000000000027e+00,1.827800000000000091e+00,4.270909999999999762e+00,1.390560000000000018e+00,1.152290000000000036e+00,2.801839999999999886e+00,6.618800000000000239e-01
1.598689999999999944e+00,2.301330000000000098e+00,2.977059999999999818e+00,1.721659999999999968e+00,1.736769999999999925e+00,4.639389999999999681e+00,1.550820000000000087e+00,1.496660000000000101e+00,3.046870000000000189e+00,7.919749999999999845e-01
1.327790000000000026e+00,1.775910000000000100e+00,2.383649999999999824e+00,1.366540000000000088e+00,1.404409999999999936e+00,3.771529999999999827e+00,1.419059999999999988e+00,1.114570000000000061e+00,2.426950000000000163e+00,8.886610000000000342e-01
1.407569999999999988e+00,2.377639999999999976e+00,2.327459999999999862e+00,1.482040000000000024e+00,1.360989999999999922e+00,3.534180000000000099e+00,1.145199999999999996e+00,1.194800000000000084e+00,2.403929999999999900e+00,1.087769999999999904e+00
1.514469999999999983e+00,2.184280000000000221e+00,2.284030000000000005e+00,1.749069999999999903e+00,1.438209999999999988e+00,3.783710000000000129e+00,1.154090000000000060e+00,1.223000000000000087e+00,2.645119999999999916e+00,1.378900000000000015e+00
1.709049999999999958e+00,2.328149999999999942e+00,2.237470000000000070e+00,1.890500000000000069e+00,1.451510000000000078e+00,4.190690000000000026e+00,1.175000000000000044e+00,1.277260000000000062e+00,2.827620000000000022e+00,1.414029999999999898e+00
1.807169999999999943e+00,2.501240000000000130e+00,1.954499999999999904e+00,2.020700000000000163e+00,1.575639999999999930e+00,4.155890000000000306e+00,1.124889999999999946e+00,1.565749999999999975e+00,3.243430000000000035e+00,1.652590000000000003e+00
1.985549999999999926e+00,3.215809999999999835e+00,2.259240000000000137e+00,2.247889999999999944e+00,1.826219999999999954e+00,4.843700000000000117e+00,1.508829999999999893e+00,1.821460000000000079e+00,3.968770000000000131e+00,1.737929999999999975e+00
1.988080000000000069e+00,2.768320000000000114e+00,2.578199999999999825e+00,2.923280000000000101e+00,2.389209999999999834e+00,5.315150000000000041e+00,1.810359999999999969e+00,2.154040000000000177e+00,4.374399999999999622e+00,2.442889999999999784e+00
1.970110000000000028e+00,3.173420000000000130e+00,2.927509999999999835e+00,3.320590000000000153e+00,2.691710000000000047e+00,4.164060000000000095e+00,1.844899999999999984e+00,2.178279999999999994e+00,3.927750000000000075e+00,2.134990000000000165e+00
2.000010000000000066e+00,3.694650000000000212e+00,3.288069999999999826e+00,3.293499999999999872e+00,2.994400000000000173e+00,4.482910000000000394e+00,2.406419999999999781e+00,2.030790000000000095e+00,3.842369999999999841e+00,1.989409999999999901e+00
2.544869999999999965e+00,4.013349999999999973e+00,3.982520000000000060e+00,3.630059999999999842e+00,3.412249999999999783e+00,4.148259999999999614e+00,2.503620000000000179e+00,2.146720000000000184e+00,3.801800000000000068e+00,2.212390000000000079e+00
2.209080000000000155e+00,4.079850000000000421e+00,3.212839999999999918e+00,2.852869999999999795e+00,2.606730000000000214e+00,3.663619999999999877e+00,1.999710000000000099e+00,2.160579999999999945e+00,3.337369999999999948e+00,2.175660000000000149e+00
2.014180000000000081e+00,3.345260000000000122e+00,2.996059999999999945e+00,2.761070000000000135e+00,2.315010000000000012e+00,3.437380000000000102e+00,2.058390000000000164e+00,1.858929999999999971e+00,3.005669999999999842e+00,1.707000000000000073e+00
2.039989999999999970e+00,2.270890000000000075e+00,2.509920000000000151e+00,2.651590000000000114e+00,2.001749999999999918e+00,3.055460000000000065e+00,2.093750000000000000e+00,1.759810000000000096e+00,2.785089999999999844e+00,1.777509999999999923e+00
1.710280000000000022e+00,1.974199999999999955e+00,2.086809999999999832e+00,2.139170000000000016e+00,1.591069999999999984e+00,2.704779999999999962e+00,1.544829999999999925e+00,1.649759999999999893e+00,2.239300000000000068e+00,1.711310000000000109e+00
1.576359999999999983e+00,2.222240000000000215e+00,2.182090000000000085e+00,2.033319999999999794e+00,1.451570000000000027e+00,3.032129999999999992e+00,1.393010000000000081e+00,1.295080000000000009e+00,2.033100000000000129e+00,9.948489999999999833e-01
1.625830000000000108e+00,2.009910000000000085e+00,2.281419999999999781e+00,1.995910000000000073e+00,1.461619999999999919e+00,3.120150000000000201e+00,1.208269999999999955e+00,1.148719999999999963e+00,1.761239999999999917e+00,8.127250000000000307e-01
1.133440000000000003e+00,1.675400000000000000e+00,2.175100000000000033e+00,1.764760000000000106e+00,1.342919999999999892e+00,2.633439999999999781e+00,9.861630000000000118e-01,9.838569999999999816e-01,1.746369999999999978e+00,7.511269999999999891e-01
1.056049999999999933e+00,1.476499999999999924e+00,1.883690000000000087e+00,1.671869999999999967e+00,1.032140000000000057e+00,2.527470000000000105e+00,9.086189999999999545e-01,9.674270000000000369e-01,1.796289999999999942e+00,9.406689999999999774e-01
8.989200000000000523e-01,1.388789999999999969e+00,1.725700000000000012e+00,1.470250000000000057e+00,1.114989999999999926e+00,2.086840000000000028e+00,7.048879999999999590e-01,8.184129999999999461e-01,1.527409999999999934e+00,5.293959999999999777e-01
8.957559999999999967e-01,1.256269999999999998e+00,1.662069999999999936e+00,1.211559999999999970e+00,1.045879999999999921e+00,2.096389999999999976e+00,5.933500000000000441e-01,7.393800000000000372e-01,1.494639999999999969e+00,5.307420000000000471e-01
