1.240818382427703703e+00,1.205528915190420047e+00,1.233636510901333638e+00,1.180429029427571663e+00,1.217062165486502590e+00,1.232643483911502580e+00
1.269423379629039284e+00,1.334547577962310605e+00,1.335592252109270683e+00,1.304513240039699262e+00,1.312405073242211007e+00,1.325937209198899902e+00
1.447677641222073319e+00,1.430420315173902113e+00,1.454386941037745018e+00,1.440181582293220686e+00,1.436238250683615547e+00,1.443218911506819691e+00
1.543249494919976872e+00,1.533076770240519471e+00,1.577362512220891189e+00,1.567424308336324845e+00,1.570879254231297928e+00,1.549103657683330137e+00
1.655670186201559702e+00,1.665245668714449234e+00,1.671707703606229112e+00,1.705680893150915090e+00,1.677618576326906918e+00,1.632558326343542809e+00
1.763752803469360586e+00,1.767009800566298194e+00,1.755279814519627557e+00,1.764115838133402558e+00,1.801968897910348533e+00,1.783259525368517506e+00
1.822722935657850041e+00,1.891234621561157070e+00,1.847117833700193223e+00,1.878472709418867570e+00,1.821312956678223349e+00,1.827993449288275674e+00
1.943872100618217358e+00,1.963458907920688112e+00,1.932506748583880940e+00,1.951619104372289693e+00,1.965647927061563216e+00,1.961564276898777548e+00
2.005679604368157509e+00,2.026860178818948643e+00,2.050385312720330422e+00,2.058182391571821590e+00,2.013338184158194544e+00,2.022697459178977031e+00
2.151916015986107489e+00,2.107688689757689637e+00,2.056248401629301892e+00,2.100299182877441329e+00,2.088149862029567760e+00,2.107991654669418846e+00
2.139531974949973048e+00,2.130905781687298717e+00,2.123088852449999120e+00,2.162387251702904134e+00,2.151770630383396110e+00,2.133660837475205518e+00
2.163889201539220153e+00,2.152423825953084791e+00,2.164516939040328491e+00,2.149388313630383074e+00,2.192606880539879288e+00,2.154477814266898772e+00
2.187083125735027167e+00,2.204390040318558786e+00,2.197201254605035903e+00,2.188864059867535072e+00,2.213495887904230575e+00,2.199867079433105665e+00
2.186639073077821127e+00,2.211650768373114140e+00,2.211506987770156307e+00,2.183724551563159366e+00,2.203102133821565278e+00,2.188795277285837670e+00
